time,Observed_Predecessor1,Observed_Predecessor2,Observed_Predecessor3,Observed_Predecessor4
1748372936.08491,0,1,2,3
1748372935.691362,0,1,2,3
1748372936.093104,0,1,2,3
1748372935.7550745,0,1,2,3
1748372935.7484188,0,1,2,3
1748372935.7550163,0,1,2,3
1748372935.7690318,0,1,2,3
1748372935.745192,0,1,2,3
1748372935.740033,0,1,2,3
1748372935.7956052,0,1,2,3
1748372935.7885356,0,1,2,3
1748372935.762931,0,1,2,3
1748372936.139996,0,1,2,3
1748372935.7951393,0,1,2,3
1748372935.8091495,0,1,2,3
1748372936.165296,0,1,2,3
1748372935.8287034,0,1,2,3
1748372935.8379316,0,1,2,3
1748372935.789302,0,1,2,3
1748372935.8492808,0,1,2,3
1748372935.835356,0,1,2,3
1748372936.193256,0,1,2,3
1748372936.209248,0,1,2,3
1748372935.8780477,0,1,2,3
1748372935.8688283,0,1,2,3
1748372935.875524,0,1,2,3
1748372935.843661,0,1,2,3
1748372935.8894005,0,1,2,3
1748372935.84161,0,1,2,3
1748372935.862377,0,1,2,3
1748372935.9181757,0,1,2,3
1748372935.9089522,0,1,2,3
1748372936.253579,0,1,2,3
1748372935.9295175,0,1,2,3
1748372935.915643,0,1,2,3
1748372935.889362,0,1,2,3
1748372936.281921,0,1,2,3
1748372935.9582894,0,1,2,3
1748372935.9490447,0,1,2,3
1748372935.9557643,0,1,2,3
1748372936.316413,0,1,2,3
1748372935.9696426,0,1,2,3
1748372936.322162,0,1,2,3
1748372935.942786,0,1,2,3
1748372935.939541,0,1,2,3
1748372935.9986095,0,1,2,3
1748372935.9891677,0,1,2,3
1748372935.959919,0,1,2,3
1748372935.9958882,0,1,2,3
1748372936.009763,0,1,2,3
1748372936.367678,0,1,2,3
1748372936.04028,0,1,2,3
1748372936.0306666,0,1,2,3
1748372935.989358,0,1,2,3
1748372936.036014,0,1,2,3
1748372936.0498817,0,1,2,3
1748372936.398332,0,1,2,3
1748372936.425037,0,1,2,3
1748372936.080403,0,1,2,3
1748372936.0707915,0,1,2,3
1748372936.0899992,0,1,2,3
1748372936.045121,0,1,2,3
1748372936.0786912,0,1,2,3
1748372936.436762,0,1,2,3
1748372936.060253,0,1,2,3
1748372936.050188,0,1,2,3
1748372936.1109183,0,1,2,3
1748372936.12052,0,1,2,3
1748372936.1301153,0,1,2,3
1748372936.118817,0,1,2,3
1748372936.091032,0,1,2,3
1748372936.48192,0,1,2,3
1748372936.1606352,0,1,2,3
1748372936.1510394,0,1,2,3
1748372936.158936,0,1,2,3
1748372936.1702342,0,1,2,3
1748372936.141991,0,1,2,3
1748372936.514932,0,1,2,3
1748372936.137988,0,1,2,3
1748372936.540909,0,1,2,3
1748372936.159944,0,1,2,3
1748372936.2007492,0,1,2,3
1748372936.1911583,0,1,2,3
1748372936.551402,0,1,2,3
1748372936.2103543,0,1,2,3
1748372936.1990569,0,1,2,3
1748372936.188009,0,1,2,3
1748372936.240898,0,1,2,3
1748372936.231382,0,1,2,3
1748372936.2504733,0,1,2,3
1748372936.2391772,0,1,2,3
1748372936.595793,0,1,2,3
1748372936.281018,0,1,2,3
1748372936.2715588,0,1,2,3
1748372936.244659,0,1,2,3
1748372936.2905967,0,1,2,3
1748372936.2793078,0,1,2,3
1748372936.239627,0,1,2,3
1748372936.638727,0,1,2,3
1748372936.26177,0,1,2,3
1748372936.657019,0,1,2,3
1748372936.311676,0,1,2,3
1748372936.3211353,0,1,2,3
1748372936.665591,0,1,2,3
1748372936.3307135,0,1,2,3
1748372936.319427,0,1,2,3
1748372936.288001,0,1,2,3
1748372936.36125,0,1,2,3
1748372936.351792,0,1,2,3
1748372936.359553,0,1,2,3
1748372936.3708377,0,1,2,3
1748372936.709663,0,1,2,3
1748372936.342607,0,1,2,3
1748372936.337308,0,1,2,3
1748372936.401369,0,1,2,3
1748372936.3919322,0,1,2,3
1748372936.364706,0,1,2,3
1748372936.3996613,0,1,2,3
1748372936.4109664,0,1,2,3
1748372936.755327,0,1,2,3
1748372936.773052,0,1,2,3
1748372936.780203,0,1,2,3
1748372936.387342,0,1,2,3
1748372936.441498,0,1,2,3
1748372936.432503,0,1,2,3
1748372936.4510913,0,1,2,3
1748372936.439762,0,1,2,3
1748372936.4816177,0,1,2,3
1748372936.4726248,0,1,2,3
1748372936.444545,0,1,2,3
1748372936.4912076,0,1,2,3
1748372936.4798846,0,1,2,3
1748372936.437461,0,1,2,3
1748372936.823832,0,1,2,3
1748372936.461023,0,1,2,3
1748372936.5217445,0,1,2,3
1748372936.51275,0,1,2,3
1748372936.5313222,0,1,2,3
1748372936.5200057,0,1,2,3
1748372936.871918,0,1,2,3
1748372936.489918,0,1,2,3
1748372936.888554,0,1,2,3
1748372936.894582,0,1,2,3
1748372936.562148,0,1,2,3
1748372936.552872,0,1,2,3
1748372936.560132,0,1,2,3
1748372936.5714445,0,1,2,3
1748372936.543315,0,1,2,3
1748372936.537029,0,1,2,3
1748372936.560317,0,1,2,3
1748372936.944611,0,1,2,3
1748372936.5930002,0,1,2,3
1748372936.602264,0,1,2,3
1748372936.6002586,0,1,2,3
1748372936.613763,0,1,2,3
1748372936.590373,0,1,2,3
1748372936.642383,0,1,2,3
1748372936.6331148,0,1,2,3
1748372936.981279,0,1,2,3
1748372936.6403832,0,1,2,3
1748372936.6538954,0,1,2,3
1748372937.004672,0,1,2,3
1748372937.009024,0,1,2,3
1748372936.6732368,0,1,2,3
1748372936.6834452,0,1,2,3
1748372936.642864,0,1,2,3
1748372936.6805017,0,1,2,3
1748372936.638741,0,1,2,3
1748372936.6940236,0,1,2,3
1748372936.661327,0,1,2,3
1748372936.7134542,0,1,2,3
1748372936.723564,0,1,2,3
1748372937.057611,0,1,2,3
1748372936.7206254,0,1,2,3
1748372936.73414,0,1,2,3
1748372936.69188,0,1,2,3
1748372936.753569,0,1,2,3
1748372936.763691,0,1,2,3
1748372937.097479,0,1,2,3
1748372936.7607489,0,1,2,3
1748372936.7742558,0,1,2,3
1748372937.119928,0,1,2,3
1748372937.123127,0,1,2,3
1748372936.743166,0,1,2,3
1748372936.741248,0,1,2,3
1748372936.761524,0,1,2,3
1748372936.7936893,0,1,2,3
1748372936.8038096,0,1,2,3
1748372936.8008838,0,1,2,3
1748372936.8143764,0,1,2,3
1748372937.172264,0,1,2,3
1748372936.787018,0,1,2,3
1748372936.8338082,0,1,2,3
1748372936.843926,0,1,2,3
1748372936.8410134,0,1,2,3
1748372936.8545008,0,1,2,3
1748372937.214204,0,1,2,3
1748372936.8739247,0,1,2,3
1748372936.842108,0,1,2,3
1748372936.8840952,0,1,2,3
1748372937.235699,0,1,2,3
1748372936.8827271,0,1,2,3
1748372936.8947852,0,1,2,3
1748372937.237809,0,1,2,3
1748372936.841414,0,1,2,3
1748372936.862271,0,1,2,3
1748372936.9242132,0,1,2,3
1748372936.914155,0,1,2,3
1748372936.9228456,0,1,2,3
1748372936.9348958,0,1,2,3
1748372936.886803,0,1,2,3
1748372937.280791,0,1,2,3
1748372936.954268,0,1,2,3
1748372936.9643264,0,1,2,3
1748372936.9629653,0,1,2,3
1748372936.9750144,0,1,2,3
1748372936.941608,0,1,2,3
1748372936.941619,0,1,2,3
1748372936.9943864,0,1,2,3
1748372936.962813,0,1,2,3
1748372937.0044448,0,1,2,3
1748372937.33087,0,1,2,3
1748372937.352481,0,1,2,3
1748372937.015154,0,1,2,3
1748372937.0030825,0,1,2,3
1748372937.351511,0,1,2,3
1748372936.985816,0,1,2,3
1748372937.04457,0,1,2,3
1748372937.034504,0,1,2,3
1748372937.0432036,0,1,2,3
1748372937.055278,0,1,2,3
1748372937.394891,0,1,2,3
1748372937.0846906,0,1,2,3
1748372937.0746152,0,1,2,3
1748372937.041612,0,1,2,3
1748372937.083325,0,1,2,3
1748372937.0954027,0,1,2,3
1748372937.038829,0,1,2,3
1748372937.061047,0,1,2,3
1748372937.454605,0,1,2,3
1748372937.467531,0,1,2,3
1748372937.466714,0,1,2,3
1748372937.114754,0,1,2,3
1748372937.124809,0,1,2,3
1748372937.1234422,0,1,2,3
1748372937.1355178,0,1,2,3
1748372937.087809,0,1,2,3
1748372937.1548743,0,1,2,3
1748372937.16573,0,1,2,3
1748372937.1635556,0,1,2,3
1748372937.175611,0,1,2,3
1748372937.513873,0,1,2,3
1748372937.140954,0,1,2,3
1748372937.138951,0,1,2,3
1748372937.160662,0,1,2,3
1748372937.194998,0,1,2,3
1748372937.2058687,0,1,2,3
1748372937.2036767,0,1,2,3
1748372937.215732,0,1,2,3
1748372937.581077,0,1,2,3
1748372937.583131,0,1,2,3
1748372937.571005,0,1,2,3
1748372937.188979,0,1,2,3
1748372937.235113,0,1,2,3
1748372937.2463815,0,1,2,3
1748372937.243804,0,1,2,3
1748372937.2558498,0,1,2,3
1748372937.241173,0,1,2,3
1748372937.275244,0,1,2,3
1748372937.239402,0,1,2,3
1748372937.2865057,0,1,2,3
1748372937.620601,0,1,2,3
1748372937.2839303,0,1,2,3
1748372937.2960134,0,1,2,3
1748372937.260119,0,1,2,3
1748372937.315379,0,1,2,3
1748372937.3266215,0,1,2,3
1748372937.3252332,0,1,2,3
1748372937.3361337,0,1,2,3
1748372937.28742,0,1,2,3
1748372937.68804,0,1,2,3
1748372937.698187,0,1,2,3
1748372937.695682,0,1,2,3
1748372937.3554978,0,1,2,3
1748372937.3667336,0,1,2,3
1748372937.3762572,0,1,2,3
1748372937.3653555,0,1,2,3
1748372937.340162,0,1,2,3
1748372937.341458,0,1,2,3
1748372937.36079,0,1,2,3
1748372937.4068503,0,1,2,3
1748372937.7415,0,1,2,3
1748372937.395613,0,1,2,3
1748372937.4163768,0,1,2,3
1748372937.4054754,0,1,2,3
1748372937.389047,0,1,2,3
1748372937.4357305,0,1,2,3
1748372937.4469836,0,1,2,3
1748372937.4564908,0,1,2,3
1748372937.4455974,0,1,2,3
1748372937.810362,0,1,2,3
1748372937.814277,0,1,2,3
1748372937.796859,0,1,2,3
1748372937.4758549,0,1,2,3
1748372937.440966,0,1,2,3
1748372937.487108,0,1,2,3
1748372937.442423,0,1,2,3
1748372937.4857244,0,1,2,3
1748372937.4966068,0,1,2,3
1748372937.459838,0,1,2,3
1748372937.8545,0,1,2,3
1748372937.5159814,0,1,2,3
1748372937.5272262,0,1,2,3
1748372937.5367196,0,1,2,3
1748372937.5258448,0,1,2,3
1748372937.486424,0,1,2,3
1748372937.556096,0,1,2,3
1748372937.5674326,0,1,2,3
1748372937.5768352,0,1,2,3
1748372937.5659711,0,1,2,3
1748372937.920457,0,1,2,3
